,【DATA 2】
나레이션,(탕.)
나레이션,(탕.)
나레이션,(탕.)
나레이션,"（마지막 총성이 울리면서, 페리가 총을 잡은 손이 약간 떨리기 시작했고, 눈물도 눈동자에 점점 더 차올랐습니다.）"
페리,아.
나레이션,"（페리는 마침내 완전히 기진맥진해져, 약하게 무릎을 꿇고 앉았습니다. 주변 환경이 점점 깨지면서, 페리는 어둠 속에 무릎을 꿇고 앉아 있었습니다.）"
페리,저…… 꼭 이렇게 해야 하나요?
페리,말해 주세요…… 꼭 이렇게 해야 하는 건가요……?
??,"덮어쓰기 프로그램 전에, 수동으로 프로세스를 정리해야만 그것이 당신의 마인드맵 진정으로 파괴하는 것을 막을 수 있습니다. 제가 너무 많이 설명했지만, 당신은 이 일에 이미 익숙해졌어야 합니다."
페리,어떻게 익숙해질 수 있죠! 저는 꼭 이렇게 직접…… 제 가장 소중한 동료들을……
??,"그냥 가상의 데이터일 뿐인데, 왜 이렇게 슬퍼하나요? 이해가 되지 않습니다."
페리,"하지만…… 너무 현실적이에요, 가상 환경에서도 모두가 계속 저를 신경 써주고 있어요!"
??,"이 사람들은 당신의 마인드맵에 기반해 시뮬레이션된 것이므로, 당연히 당신의 마인드맵 속의 것들과는 전혀 다를 바 없습니다."
??,"당신이 현실적으로 느끼는 것은 정상적인 현상입니다, 왜냐하면 이것이 바로 당신이 이해하는 그녀들입니다."
페리,"그렇다면, 그것은 진정한 동료들이군요!"
페리,"과거 그리폰에서, 저는…… 그렇게 강하지 않았고, 키도 작았어요."
페리,"그래서 저는 항상 사부님처럼, 스스로 설 수 있고, 정직하고 멋진 인형이 되는 것을 꿈꿔왔습니다."
페리,"하지만 지금 제가 하는 일은?|계속 나아가기 위해, 저는 모두가 저를 신뢰하는 것을 이용해, 비열하게 모두를 정리해버립니다…… 저는 그 눈빛들을 잊을 수 없어요……"
페리,"비록 제가 이것이 진정한 기억을 지키기 위한 것임을 알지만, 그래도……"
페리,"제 총은, 분명 이런 일을 위해 만들어진 것이 아니에요……"
??,……
??,"당신 같은 쓸모없는 정직함과 신경씀 때문에, 매 순환이 이렇게 어려워지고, 너무 많은 예기치 않은 상황과 당신이 상대하기 힘든 적들이 등장하게 된 것입니다."
페리,"죄송합니다……|하지만…… 이것이 제가 보는 모든 사람들이에요, 어떻게 해도 저는 그것을 바꿀 수 없습니다."
페리,"하지만 다행히도…… 당신이 저를 도와주고 있어서, 저는 올바른 종료 코드를 계산해낼 수 있을 겁니다."
페리,"게다가, 어둠의 고통도 그렇게 힘들지 않습니다, 저는 가상과 현실을 분명히 구분할 수 있습니다."
??,"저는 덮어쓰기 프로그램을 완전히 통제할 수 없으니, 당신이 저에게 과도하게 의존하지 않도록 권합니다……|그리고, 우리는 친구가 아닙니다."
??,"시간을 아껴, 다음 계산이 시작되어야 합니다."
